wifi0,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6,wifi7,wifi8,wifi9,wifi10,wifi11,wifi12,wifi13,wifi14,wifi15,wifi16,wifi17,wifi18,wifi19,wifi20,wifi21,wifi22,wifi23,wifi24,wifi25,wifi26,wifi27,wifi28,wifi29,wifi30,wifi31,wifi32,wifi33,wifi34,wifi35,wifi36,wifi37,wifi38,wifi39,wifi40,wifi41,wifi42,wifi43,wifi44,wifi45,wifi46,wifi47,wifi48,wifi49,wifi50,wifi51,wifi52,wifi53,wifi54,wifi55,wifi56,wifi57,wifi58,wifi59,wifi60,wifi61,wifi62,wifi63,wifi64,wifi65,wifi66,wifi67,wifi68,wifi69,wifi70,wifi71,wifi72,wifi73,wifi74,wifi75,wifi76,wifi77,wifi78,wifi79,wifi80,wifi81,wifi82,wifi83,wifi84,wifi85,wifi86,wifi87,wifi88,wifi89,wifi90,wifi91,wifi92,wifi93,wifi94,wifi95,wifi96,wifi97,wifi98,wifi99,wifi100,wifi101,wifi102,wifi103,wifi104,wifi105,wifi106,wifi107,wifi108,wifi109,wifi110,wifi111,wifi112,wifi113,wifi114,wifi115,wifi116,wifi117,wifi118,wifi119,wifi120,wifi121,wifi122,wifi123,wifi124,wifi125,wifi126,wifi127,wifi128,wifi129,wifi130,wifi131,wifi132,wifi133,wifi134,wifi135,wifi136,wifi137,wifi138,wifi139,wifi140,wifi141,wifi142,wifi143,wifi144,wifi145,wifi146,wifi147,wifi148,wifi149,wifi150,wifi151,wifi152,wifi153,wifi154,wifi155,wifi156,wifi157,wifi158,wifi159,wifi160,wifi161,wifi162,wifi163,wifi164,wifi165,wifi166,wifi167,wifi168,wifi169,wifi170,wifi171,wifi172,wifi173,wifi174,wifi175,wifi176,wifi177,wifi178,wifi179,wifi180,wifi181,wifi182,wifi183,wifi184,location
-72,-60,-67,-67,-67,-61,-69,-69,-67,-76,-83,-59,-62,-69,-80,-68,-64,-76,-65,100,100,-70,-73,-64,-64,-77,-65,-65,-81,-81,100,-78,-77,-70,-72,-79,-65,-73,-74,-72,-70,-78,-78,100,-68,100,-89,-89,100,100,100,-85,-75,-80,-83,-77,-86,100,-81,-84,100,100,100,100,100,100,-89,-83,-90,100,-90,-78,100,100,100,100,100,-69,100,-89,100,100,100,100,100,100,-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-68,-76,-69,100,-79,-78,-79,-79,-60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,-66,0
-72,-60,-67,-67,-67,-61,-69,-69,-67,-76,-83,-59,-62,-69,-80,-68,-64,-76,-65,100,100,-70,-73,-64,-64,-77,-65,-65,-81,-81,-77,-78,-77,-70,-72,-79,-65,-73,-74,-72,-70,-78,-78,100,-68,100,-89,-89,100,100,100,-85,-75,-80,-83,-77,-86,100,-81,-84,100,100,100,100,100,100,-89,-83,-90,100,-90,-78,100,100,100,100,100,-69,100,-89,100,100,100,100,100,100,-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-68,-76,-69,100,-79,-78,-79,-79,-60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,-66,1
-68,-59,-68,-65,-69,-62,-69,-69,-67,-72,-84,-63,-62,-69,-80,-70,-64,-76,-71,100,100,-66,-73,-71,-71,-73,-70,-63,-84,-81,-78,-78,-77,-79,-74,-79,-71,-73,-74,-75,-70,-77,-75,100,-68,100,-91,-91,100,100,-85,-85,-75,-83,-83,-77,-86,100,-81,-84,100,100,100,100,100,100,-89,-83,-90,100,-90,-78,100,100,-91,100,100,-69,100,-89,100,100,-73,-73,-73,-73,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,-81,100,-79,-78,-79,-79,-60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,2
-68,-59,-68,-65,-69,-62,-69,-69,-67,-72,-84,-63,-62,-69,-80,-70,-64,-76,-71,100,100,-66,-73,-71,-71,-73,-70,-63,-84,-81,-78,-78,-77,-79,-74,-79,-71,-73,-74,-75,-70,-77,-75,100,-68,100,-91,-91,100,100,-85,-85,-75,-83,-83,-77,-86,100,-81,-84,100,100,100,100,100,100,-89,-83,-90,100,-90,-78,100,100,-91,100,100,-69,100,-89,100,100,-73,-73,-73,-73,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,-81,100,-79,-78,-79,-79,-60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,3
-68,-59,-68,-65,-69,-62,-69,-69,-67,-72,-84,-63,-62,-69,-80,-70,-64,-76,-71,100,100,-66,-73,-71,-71,-73,-70,-63,-84,-81,-78,-78,-77,-79,-74,-79,-71,-73,-74,-75,-70,-77,-75,100,-68,100,-91,-91,100,100,-85,-85,-75,-83,-83,-77,-86,100,-81,-84,100,100,100,100,100,100,-89,-83,-90,100,-90,-78,100,100,-91,100,100,-69,100,-89,100,100,-73,-73,-73,-73,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,-81,100,-79,-78,-79,-79,-60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,4
-71,-56,-68,-66,-65,-56,-69,-69,-65,-67,-76,-63,-60,-69,-74,-62,-62,-77,-76,100,100,-62,-73,-76,-76,-73,-76,-61,-84,-85,-81,-81,-81,-80,-74,-86,-76,-73,-68,-80,-66,-81,-75,100,-68,100,-89,-89,100,100,-85,-85,-75,-84,100,-86,-86,100,-81,100,100,100,100,100,100,100,-89,-83,-90,-85,-90,100,100,100,-91,100,100,-69,100,100,100,100,-73,-73,-73,-73,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,-81,100,-87,-87,-86,-86,-63,100,100,100,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,5
-71,-56,-68,-66,-65,-56,-69,-69,-65,-67,-76,-63,-60,-69,-74,-62,-62,-77,-76,100,100,-62,-73,-76,-76,-73,-76,-61,-84,-85,-81,-81,-81,-80,-74,-86,-76,-73,-68,-80,-66,-81,-75,100,-68,100,-89,-89,100,100,-85,-85,-75,-84,100,-86,-86,100,-81,100,100,100,100,100,100,100,-89,-83,-90,-85,-90,100,100,100,-91,100,100,-69,100,100,100,100,-73,-73,-73,-73,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,-81,100,-87,-87,-86,-86,-63,100,100,100,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,6
-71,-56,-68,-66,-65,-56,-69,-69,-65,-67,-76,-63,-60,-69,-74,-62,-62,-77,-76,100,100,-62,-73,-76,-76,-73,-76,-61,-84,-85,-81,-81,-81,-80,-74,-86,-76,-73,-68,-80,-66,-81,-75,100,-68,100,-89,-89,100,100,-85,-85,-75,-84,100,-86,-86,100,-81,100,100,100,100,100,100,100,-89,-83,-90,-85,-90,100,100,100,-91,100,100,-69,100,100,100,100,-73,-73,-73,-73,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,-81,100,-87,-87,-86,-86,-63,100,100,100,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,7
-79,-69,-71,-73,-70,-68,-80,-69,-72,-74,-86,-68,-67,-69,-79,-80,-62,-73,-81,100,100,-69,-82,-77,-77,-84,-78,-71,-89,-85,-89,-90,-88,-80,-83,-86,-77,-85,-86,-80,-66,-90,-75,100,-68,100,-89,-89,100,100,-85,-85,-75,-84,100,-86,-86,100,-81,100,100,100,100,100,100,100,-89,-83,-90,-85,-90,100,100,100,-91,100,100,-69,100,100,100,100,-73,-73,-73,-73,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,-81,100,-87,-87,-86,-86,-70,-84,100,100,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,8
-79,-69,-71,-73,-70,-68,-80,-69,-72,-74,-86,-68,-67,-69,-79,-80,-62,-73,-81,100,100,-69,-82,-77,-77,-84,-78,-71,-89,-85,-89,-90,-88,-80,-83,-86,-77,-85,-86,-80,-66,-90,-75,100,-68,100,-89,-89,100,100,-85,-85,-75,-84,100,-86,-86,100,-81,100,100,100,100,100,100,100,-89,-83,-90,-85,-90,100,100,100,-91,100,100,-69,100,100,100,100,-73,-73,-73,-73,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,-81,100,-87,-87,-86,-86,-70,-84,100,100,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,9
-79,-69,-71,-73,-70,-68,-80,-69,-72,-74,-86,-68,-67,-69,-79,-80,-62,-73,-81,100,100,-69,-82,-77,-77,-84,-78,-71,-89,-85,-89,-90,-88,-80,-83,-86,-77,-85,-86,-80,-66,-90,-75,100,-68,100,-89,-89,100,100,-85,-85,-75,-84,100,-86,-86,100,-81,100,100,100,100,100,100,100,-89,-83,-90,-85,-90,100,100,100,-91,100,100,-69,100,100,100,100,-73,-73,-73,-73,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,-81,100,-87,-87,-86,-86,-70,-84,100,100,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,10
-75,-69,-75,-75,-74,-63,-75,-73,-74,-74,-86,-64,-63,-74,-79,-74,-69,-71,-75,100,100,-66,-75,-79,-79,-79,-80,-67,-83,-83,-84,-84,-83,-81,-79,-85,-79,-79,-76,-80,-66,-82,-75,100,100,100,-89,-89,100,100,-85,-85,100,-83,100,-86,-86,100,100,100,100,100,100,100,100,100,100,100,-90,-85,100,100,100,100,-91,100,100,100,100,100,100,100,-73,-73,-73,-73,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-84,-84,100,-85,-85,-85,-84,-67,-84,100,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,11
-75,-69,-75,-75,-74,-63,-75,-73,-74,-74,-86,-64,-63,-74,-79,-74,-69,-71,-75,100,100,-66,-75,-79,-79,-79,-80,-67,-83,-83,-84,-84,-83,-81,-79,-85,-79,-79,-76,-80,-66,-82,-75,100,100,100,-89,-89,100,100,-85,-85,100,-83,100,-86,-86,100,100,100,100,100,100,100,100,100,100,100,-90,-85,100,100,100,100,-91,100,100,100,100,100,100,100,-73,-73,-73,-73,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-84,-84,100,-85,-85,-85,-84,-67,-84,100,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,12
-75,-69,-75,-75,-74,-63,-75,-73,-74,-74,-86,-64,-63,-74,-79,-74,-69,-71,-75,100,100,-66,-75,-79,-79,-79,-80,-67,-83,-83,-84,-84,-83,-81,-79,-85,-79,-79,-76,-80,-66,-82,-75,100,100,100,-89,-89,100,100,-85,-85,100,-83,100,-86,-86,100,100,100,100,100,100,100,100,100,100,100,-90,-85,100,100,100,100,-91,100,100,100,100,100,100,100,-73,-73,-73,-73,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-84,-84,100,-85,-85,-85,-84,-67,-84,100,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,13
-73,-72,-75,-74,-74,-68,-83,-84,-76,-74,-87,-62,-76,-82,-79,-71,-69,-73,-79,100,100,-66,-74,-83,-81,-79,-81,-71,-83,-86,-83,-84,-83,-84,-80,-85,-83,-79,-72,-76,-82,-83,-75,100,100,100,-90,-89,100,100,-85,-85,100,-83,100,-85,-86,-82,100,100,100,100,100,100,100,100,100,100,-87,-85,100,100,100,100,-91,100,100,100,100,-91,100,100,-80,-81,-81,-80,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-84,-84,100,-85,-85,-85,-84,-63,-84,100,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,14
-73,-72,-75,-74,-74,-68,-83,-84,-76,-74,-87,-62,-76,-82,-79,-71,-69,-73,-79,100,100,-66,-74,-83,-81,-79,-81,-71,-83,-86,-83,-84,-83,-84,-80,-85,-83,-79,-72,-76,-82,-83,-75,100,100,100,-90,-89,100,100,-85,-85,100,-83,100,-85,-86,-82,100,100,100,100,100,100,100,100,100,100,-87,-85,100,100,100,100,-91,100,100,100,100,-91,100,100,-80,-81,-81,-80,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-84,-84,100,-85,-85,-85,-84,-63,-84,100,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,15
-73,-72,-75,-74,-74,-68,-83,-84,-76,-74,-87,-62,-76,-82,-79,-71,-69,-73,-79,100,100,-66,-74,-83,-81,-79,-81,-71,-83,-86,-83,-84,-83,-84,-80,-85,-83,-79,-72,-76,-82,-83,-75,100,100,100,-90,-89,100,100,-85,-85,100,-83,100,-85,-86,-82,100,100,100,100,100,100,100,100,100,100,-87,-85,100,100,100,100,-91,100,100,100,100,-91,100,100,-80,-81,-81,-80,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-84,-84,100,-85,-85,-85,-84,-63,-84,100,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-68,16
-73,-79,-73,-74,-74,-72,-80,-84,-73,-86,-87,-68,-80,-82,-79,-78,-69,-69,-79,100,100,-84,-79,-77,-77,-79,-77,-71,-82,-85,-84,-85,-84,-85,-78,-86,-78,-77,-72,-76,-76,-85,100,100,100,100,-90,-89,100,100,100,-77,100,-86,100,-86,-86,-82,100,100,-81,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,-91,100,100,-80,-81,-81,-80,100,100,100,100,100,100,100,100,-88,-89,100,-89,-89,100,-86,-84,-84,-84,100,-87,-88,-85,-87,-63,-84,100,100,100,100,-91,100,100,100,100,100,100,-88,-90,-88,100,100,100,100,-86,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,-87,-89,100,100,-83,100,100,-87,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17
-73,-79,-73,-74,-74,-72,-80,-84,-73,-86,-87,-68,-80,-82,-79,-78,-69,-69,-79,100,100,-84,-79,-77,-77,-79,-77,-71,-82,-85,-84,-85,-84,-85,-78,-86,-78,-77,-72,-76,-76,-85,100,100,100,100,-90,-89,100,100,100,-77,100,-86,100,-86,-86,-82,100,100,-81,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,-91,100,100,-80,-81,-81,-80,100,100,100,100,100,100,100,100,-88,-89,100,-89,-89,100,-86,-84,-84,-84,100,-87,-88,-85,-87,-63,-84,100,100,100,100,-91,100,100,100,100,100,100,-88,-90,-88,100,100,100,100,-86,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,-87,-89,100,100,-83,100,100,-87,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18
-73,-79,-73,-74,-74,-72,-80,-84,-73,-86,-87,-68,-80,-82,-79,-78,-69,-69,-79,100,100,-84,-79,-77,-77,-79,-77,-71,-82,-85,-84,-85,-84,-85,-78,-86,-78,-77,-72,-76,-76,-85,100,100,100,100,-90,-89,100,100,100,-77,100,-86,100,-86,-86,-82,100,100,-81,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,-91,100,100,-80,-81,-81,-80,100,100,100,100,100,100,100,100,-88,-89,100,-89,-89,100,-86,-84,-84,-84,100,-87,-88,-85,-87,-63,-84,100,100,100,100,-91,100,100,100,100,100,100,-88,-90,-88,100,100,100,100,-86,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,-87,-89,100,100,-83,100,100,-87,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,19
-82,-85,-71,-70,-69,-73,-77,-78,-71,-86,-87,-70,-80,-78,-79,-77,-71,-69,-78,100,100,-84,-78,-84,-84,-79,-84,-74,-89,-84,-84,-83,-83,-78,-84,-86,-84,-85,-77,-76,-78,-84,100,100,-84,100,-90,-89,100,100,100,-79,100,-85,100,-86,-86,-82,100,100,-85,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,-91,100,100,-84,-85,-86,-84,100,100,-87,100,100,100,100,100,-88,-89,100,-89,-86,100,-86,-84,-84,-84,100,-87,-88,-85,-87,-73,-84,100,100,100,100,-91,100,100,100,100,100,100,-87,-85,-84,100,100,100,100,-85,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,-90,-86,-84,100,100,-83,100,100,-87,-79,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,20
-82,-85,-71,-70,-69,-73,-77,-78,-71,-86,-87,-70,-80,-78,-79,-77,-71,-69,-78,100,100,-84,-78,-84,-84,-79,-84,-74,-89,-84,-84,-83,-83,-78,-84,-86,-84,-85,-77,-76,-78,-84,100,100,-84,100,-90,-89,100,100,100,-79,100,-85,100,-86,-86,-82,100,100,-85,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,-91,100,100,-84,-85,-86,-84,100,100,-87,100,100,100,100,100,-88,-89,100,-89,-86,100,-86,-84,-84,-84,100,-87,-88,-85,-87,-73,-84,100,100,100,100,-91,100,100,100,100,100,100,-87,-85,-84,100,100,100,100,-85,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,-90,-86,-84,100,100,-83,100,100,-87,-79,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,21
-82,-85,-71,-70,-69,-73,-77,-78,-71,-86,-87,-70,-80,-78,-79,-77,-71,-69,-78,100,100,-84,-78,-84,-84,-79,-84,-74,-89,-84,-84,-83,-83,-78,-84,-86,-84,-85,-77,-76,-78,-84,100,100,-84,100,-90,-89,100,100,100,-79,100,-85,100,-86,-86,-82,100,100,-85,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,-91,100,100,-84,-85,-86,-84,100,100,-87,100,100,100,100,100,-88,-89,100,-89,-86,100,-86,-84,-84,-84,100,-87,-88,-85,-87,-73,-84,100,100,100,100,-91,100,100,100,100,100,100,-87,-85,-84,100,100,100,100,-85,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,-90,-86,-84,100,100,-83,100,100,-87,-79,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,22
